symbol,exchange
A,NYSE
AA,NYSE
AABA,NASDAQ
AAL,NASDAQ
AAN,NYSE
AAP,NYSE
AAPL,NASDAQ
AAXJ,NASDAQ
AB,NYSE
ABB,NYSE
ABBV,NYSE
ABC,NYSE
ABCO,NASDAQ
ABEV,NYSE
ABM,NYSE
ABMD,NASDAQ
ABT,NYSE
ABX,NYSE
ABY,NASDAQ
ACAD,NASDAQ
ACC,NYSE
ACGL,NASDAQ
ACH,NYSE
ACHC,NASDAQ
ACIW,NASDAQ
ACM,NYSE
ACN,NYSE
ACWI,NASDAQ
ACWX,NASDAQ
ACXM,NASDAQ
ADBE,NASDAQ
ADI,NASDAQ
ADM,NYSE
ADNT,NYSE
ADP,NASDAQ
ADS,NYSE
ADSK,NASDAQ
ADSW,NYSE
AEE,NYSE
AEG,NYSE
AEIS,NASDAQ
AEL,NYSE
AEM,NYSE
AEO,NYSE
AEP,NYSE
AER,NYSE
AES,NYSE
AET,NYSE
AF,NYSE
AFG,NYSE
AFL,NYSE
AFSI,NASDAQ
AGCO,NYSE
AGI,NYSE
AGIO,NASDAQ
AGN,NYSE
AGNC,NASDAQ
AGNCB,NASDAQ
AGO,NYSE
AGR,NYSE
AGU,NYSE
AHL,NYSE
AIG,NYSE
AIT,NYSE
AIV,NYSE
AIZ,NYSE
AJG,NYSE
AKAM,NASDAQ
AKR,NYSE
AKRX,NASDAQ
AKS,NYSE
AL,NYSE
ALB,NYSE
ALE,NYSE
ALEX,NYSE
ALGN,NASDAQ
ALGT,NASDAQ
ALK,NYSE
ALKS,NASDAQ
ALL,NYSE
ALLE,NYSE
ALLY,NYSE
ALNY,NASDAQ
ALR,NYSE
ALSN,NYSE
ALV,NYSE
ALX,NYSE
ALXN,NASDAQ
AM,NYSE
AMAT,NASDAQ
AMC,NYSE
AMCX,NASDAQ
AMD,NASDAQ
AME,NYSE
AMED,NASDAQ
AMFW,NYSE
AMG,NYSE
AMGN,NASDAQ
AMGP,NYSE
AMH,NYSE
